#mnemonic, regular keyboard sequence
EXCLAMATION_MARK,SHIFT+1
AT_SIGN,SHIFT+2
HASH,SHIFT+3
DOLLAR_SIGN,SHIFT+4
PERCENT,SHIFT+5
UNDERSCORE,SHIFT+MINUS
PLUS,SHIFT+EQUAL
CARET,SHIFT+6
AMPERSAND,SHIFT+7
ASTERISK,SHIFT+8
OPEN_PAREN,SHIFT+9
CLOSE_PAREN,SHIFT+0
QUESTION_MARK,SHIFT+SLASH
PIPE,SHIFT+BACKSLASH
LESS_THAN,SHIFT+COMMA
GREATER_THAN,SHIFT+PERIOD
QUIT,CTRL+Q
SAVE,CTRL+S
FIND,CTRL+F
UNDO,CTRL+Z
CUT,CTRL+X
COPY,CTRL+C
PASTE,CTRL+V
LEFT_SQUARE_BRACKET,LEFT_BRACE
RIGHT_SQUARE_BRACKET,RIGHT_BRACE
LEFT_CURLY_BRACKET,SHIFT+LEFT_BRACE
RIGHT_CURLY_BRACKET,SHIFT+RIGHT_BRACE
